yearArticle, authorArticle, year, authorFirst, authorLast, authors, article, number, line
"2023","Huang, Kexin","2022","Viana CM","Viana CM","Viana CM","2","1","Viana CM, 2022, SCI TOTAL ENVIRON, V806, DOI 10.1016/j.scitotenv.2021.150718."
"2023","Huang, Kexin","2015","Wang MY","Wang MY","Wang MY","2","1","Wang MY, 2015, ENVIRON EARTH SCI, V74, P6639, DOI 10.1007/s12665-015-4666-2."
"2023","Huang, Kexin","2022","{[}汪勇政 Wang Yongzheng]","{[}汪勇政 Wang Yongzheng]","{[}汪勇政 Wang Yongzheng]","2","1","{[}汪勇政 Wang Yongzheng], 2022, {[}生态学报, Acta Ecologica Sinica], V42, P2022."
"2023","Huang, Kexin","2022","Wang YJ","Wang YJ","Wang YJ","2","1","Wang YJ, 2022, ECOL INDIC, V142, DOI 10.1016/j.ecolind.2022.109258."
"2023","Huang, Kexin","2022","Xu GY","Xu GY","Xu GY","2","1","Xu GY, 2022, ENVIRON EARTH SCI, V81, DOI 10.1007/s12665-022-10400-1."
"2023","Huang, Kexin","2021","Xu WX","Xu WX","Xu WX","2","1","Xu WX, 2021, J CLEAN PROD, V286, DOI 10.1016/j.jclepro.2020.125523."
"2023","Huang, Kexin","2021","{[}张彪 Zhang Biao]","{[}张彪 Zhang Biao]","{[}张彪 Zhang Biao]","2","1","{[}张彪 Zhang Biao], 2021, {[}生态学报, Acta Ecologica Sinica], V41, P8906."
"2023","Huang, Kexin","2020","Zhang M","Zhang M","Zhang M","2","1","Zhang M, 2020, CATENA, V194, DOI 10.1016/j.catena.2020.104738."
"2023","Huang, Kexin","2022","Zhang XX","Zhang XX","Zhang XX","2","1","Zhang XX, 2022, NAT SUSTAIN, V5, P321, DOI 10.1038/s41893-021-00843-y."
"2023","Huang, Kexin","2021","Zhang Y.","Zhang Y.","Zhang Y.","2","1","Zhang Y., 2021, PANGAEA, DOI {[}10.1594/PANGAEA.928381, DOI 10.1594/PANGAEA.928381]."
"2023","Huang, Kexin","2022","Zhou S","Zhou S","Zhou S","2","1","Zhou S, 2022, LAND DEGRAD DEV, V33, P1579, DOI 10.1002/ldr.4218."
"2023","Huang, Kexin","2020","Zhou Y.","Zhou Y.","Zhou Y.","2","1","Zhou Y., 2020, HARVARD DATAVERSE, DOI {[}10.7910/DVN/YGIVCDvV3, DOI 10.7910/DVN/YGIVCDVV3]."
"2018","Garnett, Philip","2004","Alexander R.","Alexander R.","Alexander R.","3","1","Alexander R., 2004, P 22 INT SYSTEM SAFE, P499."
"2018","Garnett, Philip","2001","Allen P.","Allen P.","Allen P.","3","1","Allen P., 2001, EMERGENCE, V3, P24, DOI {[}DOI 10.1207/S15327000EM0301\_03, 10.1207/S15327000EM0301\_03]."
"2018","Garnett, Philip","2008","Anderson S.","Anderson S.","Anderson S.","3","1","Anderson S., 2008, TECH REP."
"2018","Garnett, Philip","2008","Barboza D.","Barboza D.","Barboza D.","3","1","Barboza D., 2008, NY TIMES."
"2018","Garnett, Philip","2012","Barnosky AD","Barnosky AD","Barnosky AD","3","1","Barnosky AD, 2012, NATURE, V486, P52, DOI 10.1038/nature11018."
"2018","Garnett, Philip","2014","Bentley R.A.","Bentley R.A.","Bentley R.A.","3","1","Bentley R.A., 2014, SOCIAL TIPPING POINT."
"2018","Garnett, Philip","2006","Boccaletti S","Boccaletti S","Boccaletti S","3","1","Boccaletti S, 2006, PHYS REP, V424, P175, DOI 10.1016/j.physrep.2005.10.009."
"2018","Garnett, Philip","2007","Bradshaw CJA","Bradshaw CJA","Bradshaw CJA","3","1","Bradshaw CJA, 2007, GLOBAL CHANGE BIOL, V13, P2379, DOI 10.1111/j.1365-2486.2007.01446.x."
"2018","Garnett, Philip","1992","BREHMER B","BREHMER B","BREHMER B","3","1","BREHMER B, 1992, ACTA PSYCHOL, V81, P211, DOI 10.1016/0001-6918(92)90019-A."
"2018","Garnett, Philip","2013","Brook BW","Brook BW","Brook BW","3","1","Brook BW, 2013, TRENDS ECOL EVOL, V28, P396, DOI 10.1016/j.tree.2013.01.016."
"2018","Garnett, Philip","2010","Buldyrev SV","Buldyrev SV","Buldyrev SV","3","1","Buldyrev SV, 2010, NATURE, V464, P1025, DOI 10.1038/nature08932."
"2018","Garnett, Philip","2011","Carpenter SR","Carpenter SR","Carpenter SR","3","1","Carpenter SR, 2011, SCIENCE, V332, P1079, DOI 10.1126/science.1203672."
"2018","Garnett, Philip","2012","Dai L","Dai L","Dai L","3","1","Dai L, 2012, SCIENCE, V336, P1175, DOI 10.1126/science.1219805."
"2018","Garnett, Philip","2014","Dearing JA","Dearing JA","Dearing JA","3","1","Dearing JA, 2014, GLOBAL ENVIRON CHANG, V28, P227, DOI 10.1016/j.gloenvcha.2014.06.012."
"2018","Garnett, Philip","1993","EKINS P","EKINS P","EKINS P","3","1","EKINS P, 1993, ECOL ECON, V8, P269, DOI 10.1016/0921-8009(93)90062-B."
"2018","Garnett, Philip","2016","EU","EU","EU","3","1","EU, 2016, EU FIN ASS."
"2018","Garnett, Philip","2003","Fahrig L","Fahrig L","Fahrig L","3","1","Fahrig L, 2003, ANNU REV ECOL EVOL S, V34, P487, DOI 10.1146/annurev.ecolsys.34.011802.132419."
"2018","Garnett, Philip","1970","FALK RA","FALK RA","FALK RA","3","1","FALK RA, 1970, AM J INT LAW, V64, P217, DOI 10.1017/S0002930000246149."
